ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
CALIDAD,-93,3C:52:A1:80:14:C5,-12.01708,-77.049019,181.6,0.95,8,Mala,2025-06-21T13:49:40.152201,red
ABASTECIMIENTO,-93,98:DA:C4:63:99:7E,-12.01708,-77.049019,181.6,0.95,8,Mala,2025-06-21T13:49:40.157299,red
TeleMallqui,-59,B2:A6:11:D3:04:F9,-12.01708,-77.049049,170.1,0.95,8,Buena,2025-06-21T13:49:43.581010,green
hw_manage_1550,-70,D8:10:9F:88:15:5B,-12.01708,-77.049049,170.1,0.95,8,Intermedia,2025-06-21T13:49:44.108440,orange
UNI_LIBRE_H,-72,D8:10:9F:69:89:90,-12.01708,-77.049049,170.1,0.95,8,Intermedia,2025-06-21T13:49:44.515121,orange
UNI_LIBRE_H,-83,CC:20:8C:BA:DC:30,-12.01708,-77.049049,170.1,0.95,8,Mala,2025-06-21T13:49:44.999969,red
UNI_LIBRE_H,-89,CC:20:8C:BA:D9:F0,-12.01708,-77.049049,170.1,0.95,8,Mala,2025-06-21T13:49:45.696819,red
UNI_LIBRE_H,-90,CC:20:8C:BA:C9:F0,-12.01708,-77.049049,170.1,0.95,8,Mala,2025-06-21T13:49:46.111850,red
NEOXIAOMI,-91,56:9D:21:F9:E2:E7,-12.01708,-77.049049,170.1,0.95,8,Mala,2025-06-21T13:49:46.791601,red
FEJATURALABTELE,-92,DC:36:0C:93:56:D6,-12.01708,-77.049049,170.1,0.95,8,Mala,2025-06-21T13:49:47.605554,red
TeleMallqui,-55,B2:A6:11:D3:04:F9,-12.017091,-77.04908,150.0,0.95,8,Buena,2025-06-21T13:49:53.780505,green
hw_manage_1550,-64,D8:10:9F:88:15:5B,-12.017091,-77.04908,150.0,0.95,8,Buena,2025-06-21T13:49:54.315903,green
UNI_LIBRE_H,-68,D8:10:9F:69:89:90,-12.017091,-77.04908,150.0,0.95,8,Buena,2025-06-21T13:49:54.778286,green
