ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
San Miguel Arcangel,-96,68:FF:7B:FC:AF:8E,-12.017064,-77.049103,127.3,0.94,8,Mala,2025-06-21T13:57:56.639879,red
hw_manage_1550,-68,D8:10:9F:88:15:5B,-12.017097,-77.049088,123.6,0.94,8,Buena,2025-06-21T13:58:00.449824,green
TeleMallqui,-70,B2:A6:11:D3:04:F9,-12.017097,-77.049088,123.6,0.94,8,Intermedia,2025-06-21T13:58:01.715085,orange
LIFIEE-2020,-78,5C:A6:E6:9D:12:53,-12.017097,-77.049088,123.6,0.94,8,Intermedia,2025-06-21T13:58:02.221078,orange
UNI_LIBRE_H,-84,D8:10:9F:69:89:90,-12.017097,-77.049088,123.6,0.94,8,Mala,2025-06-21T13:58:02.599229,red
TP-Link_1E8F,-85,84:D8:1B:69:1E:8F,-12.017097,-77.049088,123.6,0.94,8,Mala,2025-06-21T13:58:03.611505,red
Note @.@,-86,66:B4:46:4A:7A:11,-12.017097,-77.049088,123.6,0.94,8,Mala,2025-06-21T13:58:04.197262,red
UNI_LIBRE_H,-86,CC:20:8C:BA:DC:30,-12.017097,-77.049088,123.6,0.94,8,Mala,2025-06-21T13:58:04.589770,red
DIRECT-HAnRzEBAB16FDGOLS,-88,E2:BB:9E:96:BC:98,-12.017097,-77.049088,123.6,0.94,8,Mala,2025-06-21T13:58:05.071195,red
UNI_LIBRE_H,-89,C0:3F:DD:06:3A:20,-12.017097,-77.049088,123.6,0.94,8,Mala,2025-06-21T13:58:05.413904,red
