ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
WI_FIIS,-92,00:F2:8B:E4:8E:03,-12.015242,-77.0513,126.5,0.8,10,Mala,2025-06-21T14:15:11.868232,red
Lopez,-93,B0:CC:FE:37:29:E0,-12.015242,-77.0513,126.5,0.8,10,Mala,2025-06-21T14:15:12.272313,red
Conecta-110,-94,6C:68:A4:E2:54:25,-12.015242,-77.0513,126.5,0.8,10,Mala,2025-06-21T14:15:13.284544,red
Magna Castillo,-94,BE:BE:B9:EE:4B:42,-12.015242,-77.0513,126.5,0.8,10,Mala,2025-06-21T14:15:13.715440,red
canarionochico,-96,E4:FA:C4:11:24:FA,-12.015242,-77.0513,126.5,0.8,10,Mala,2025-06-21T14:15:14.104824,red
TeleMallqui,-14,B2:A6:11:D3:04:F9,-12.015242,-77.0513,125.7,0.78,11,Buena,2025-06-21T14:15:21.079650,green
Galaxy A04249c,-74,0A:B0:7E:3C:4F:2C,-12.015242,-77.0513,125.7,0.78,11,Intermedia,2025-06-21T14:15:23.385111,orange
FIIS_Docentes,-86,00:A2:EE:DA:8B:40,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:25.061400,red
UNI_LIBRE_H,-86,C0:3F:DD:06:32:60,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:26.601612,red
hw_manage_2e20,-86,C0:3F:DD:06:2E:2B,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:27.011970,red
WI_FIIS,-87,00:A2:EE:DA:8B:43,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:29.300275,red
FIIS_Estudiantes,-88,00:A2:EE:DA:8B:41,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:30.514124,red
WIN,-93,44:3B:14:7D:6B:70,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:32.793106,red
LUCIANA-2.4G-H7zn,-94,08:2F:E9:5C:D0:CC,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:33.998981,red
MOVISTAR-WIFI6-1390,-94,F4:52:46:CD:13:9F,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:34.404819,red
FAMILIA SS,-95,F4:52:46:1E:83:6F,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:35.008204,red
MIKE,-95,C0:25:E9:58:62:86,-12.015242,-77.0513,125.7,0.78,11,Mala,2025-06-21T14:15:35.415404,red
TeleMallqui,-15,B2:A6:11:D3:04:F9,-12.015318,-77.051048,124.3,0.85,10,Buena,2025-06-21T14:15:39.234956,green
Galaxy A04249c,-83,0A:B0:7E:3C:4F:2C,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:40.319852,red
UNI_LIBRE_H,-85,C0:3F:DD:06:25:20,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:41.412668,red
WIN,-86,44:3B:14:7D:6B:70,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:42.013996,red
UNI_LIBRE_H,-86,C0:3F:DD:06:32:60,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:42.652967,red
hw_manage_2e20,-86,C0:3F:DD:06:2E:2B,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:42.915467,red
HONOR X7b,-91,3A:1A:DE:BD:75:B8,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:43.391647,red
FIIS_Estudiantes,-92,00:A2:EE:DA:8B:41,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:43.807116,red
WIFI-FIP-L,-92,A8:BD:27:D9:3F:00,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:44.415987,red
MOVISTAR-WIFI6-FA30,-94,44:3B:14:0B:FA:30,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:44.836706,red
R3PISOB,-94,F4:F2:6D:8B:83:B0,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:45.490221,red
WIFI-FIP-L,-94,A8:BD:27:D9:3D:A0,-12.015318,-77.051048,124.3,0.85,10,Mala,2025-06-21T14:15:47.488319,red
TeleMallqui,-23,B2:A6:11:D3:04:F9,-12.015497,-77.051048,124.8,0.82,11,Buena,2025-06-21T14:15:52.121453,green
hw_manage_2e20,-81,C0:3F:DD:06:2E:2B,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:52.879359,red
TP-Link_9858,-88,40:ED:00:01:98:58,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:54.096965,red
EJERCITO,-88,F8:79:28:84:2B:24,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:54.887741,red
R3PISOB,-88,F4:F2:6D:8B:83:B0,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:55.198281,red
Rojas,-89,D4:01:45:B8:0D:F6,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:55.783217,red
MOVISTAR-WIFI6-FA30,-90,44:3B:14:0B:FA:30,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:56.497711,red
EMERSON,-90,F8:79:28:84:58:1E,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:57.371669,red
WIN,-91,44:3B:14:7D:6B:70,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:57.995641,red
UNI_LIBRE_H,-91,C0:3F:DD:06:32:60,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:58.586309,red
Galaxy A04249c,-93,0A:B0:7E:3C:4F:2C,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:15:59.495046,red
FIIS_Docentes,-93,00:A2:EE:E1:92:20,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:00.600729,red
WIFI-FIP-L,-95,A8:BD:27:D9:3F:00,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:01.676232,red
CONECTA4-530,-95,F8:79:28:09:00:54,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:02.702028,red
GAELBARAK,-95,78:6A:1F:59:F3:BE,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:03.694990,red
HONOR X7b,-97,3A:1A:DE:BD:75:B8,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:04.595332,red
TeleMallqui,-48,B2:A6:11:D3:04:F9,-12.015497,-77.051048,124.8,0.82,11,Buena,2025-06-21T14:16:09.380725,green
TP-Link_021E,-89,E8:48:B8:56:02:1E,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:10.202094,red
UNI_LIBRE_H,-89,D8:10:9F:88:07:F0,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:11.499520,red
R3PISOB,-90,F4:F2:6D:8B:83:B0,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:12.484645,red
GAELBARAK,-90,78:6A:1F:59:F3:BE,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:12.899941,red
Galaxy A04249c,-91,0A:B0:7E:3C:4F:2C,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:13.969124,red
WIFI-FIP-L,-91,A8:BD:27:D9:3F:E0,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:15.851667,red
UNI_LIBRE_H,-91,C0:3F:DD:06:25:20,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:16.635395,red
FIIS_Docentes,-92,00:42:68:95:86:F0,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:18.247690,red
FIIS_Estudiantes,-92,00:42:68:95:86:F1,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:23.861248,red
CISCO,-92,16:8C:4A:EF:EC:5C,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:26.249865,red
WI_FIIS,-93,00:42:68:95:86:F3,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:26.851147,red
Rojas,-93,D4:01:45:B8:0D:F6,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:27.252508,red
EJERCITO,-93,F8:79:28:84:2B:24,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:27.855236,red
FIIS_Docentes,-93,00:A2:EE:E1:92:20,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:28.455680,red
WI_FIIS,-94,00:A2:EE:E1:92:23,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:29.536815,red
ALVARO12 2.4G,-95,98:1A:35:7A:0C:C8,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:30.355897,red
FIIS_Estudiantes,-95,50:06:04:8C:8E:11,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:31.846456,red
WIFI-FIP-L,-96,A8:BD:27:D9:20:40,-12.015497,-77.051048,124.8,0.82,11,Mala,2025-06-21T14:16:33.761070,red
TeleMallqui,-41,B2:A6:11:D3:04:F9,-12.015799,-77.051048,126.3,0.86,11,Buena,2025-06-21T14:16:39.109986,green
TP-Link_9858,-84,40:ED:00:01:98:58,-12.015799,-77.051048,126.3,0.86,11,Mala,2025-06-21T14:16:40.279182,red
