ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
TeleMallqui,-62,B2:A6:11:D3:04:F9,-12.017059,-77.049072,117.5,0.94,8,Buena,2025-06-21T13:58:58.531262,green
hw_manage_1550,-76,D8:10:9F:88:15:5B,-12.017059,-77.049072,117.5,0.94,8,Intermedia,2025-06-21T13:58:59.108729,orange
UNI_LIBRE_H,-77,CC:20:8C:BA:DC:30,-12.017059,-77.049072,117.5,0.94,8,Intermedia,2025-06-21T13:59:00.112259,orange
UNI_LIBRE_H,-82,D8:10:9F:69:89:90,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:00.516412,red
LIFIEE-2020,-83,5C:A6:E6:9D:12:53,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:01.178355,red
DIRECT-HAnRzEBAB16FDGOLS,-86,E2:BB:9E:96:BC:98,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:02.191952,red
TP-Link_1E8F,-90,84:D8:1B:69:1E:8F,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:05.824812,red
DEDITO,-92,B0:4E:26:DC:4F:B0,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:07.324817,red
FEJATURALABTELE,-93,DC:36:0C:93:56:D6,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:08.495669,red
CALIDAD,-93,3C:52:A1:80:14:C5,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:08.900136,red
PABELLON-DOCENTES,-93,98:DE:D0:2E:D0:F8,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:09.530498,red
VL Invitados,-94,B2:4E:26:DC:4F:B0,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:09.848652,red
Note @.@,-95,66:B4:46:4A:7A:11,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:10.158392,red
junior2,-95,80:26:89:64:45:16,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:10.795903,red
estefa 2,-97,B0:A7:B9:8D:E5:DE,-12.017059,-77.049072,117.5,0.94,8,Mala,2025-06-21T13:59:15.717062,red
TeleMallqui,-31,B2:A6:11:D3:04:F9,-12.017064,-77.049118,117.5,0.94,8,Buena,2025-06-21T13:59:20.949447,green
UNI_LIBRE_H,-69,D8:10:9F:69:89:90,-12.017064,-77.049118,117.5,0.94,8,Buena,2025-06-21T13:59:23.294608,green
hw_manage_1550,-79,D8:10:9F:88:15:5B,-12.017064,-77.049118,117.5,0.94,8,Intermedia,2025-06-21T13:59:24.317751,orange
UNI_LIBRE_H,-80,C0:3F:DD:06:3A:20,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:26.728896,red
UNI_LIBRE_H,-84,CC:20:8C:BA:C9:F0,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:27.030893,red
UNI_LIBRE_H,-85,C0:3F:DD:06:3D:60,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:28.821774,red
DIRECT-HAnRzEBAB16FDGOLS,-86,E2:BB:9E:96:BC:98,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:29.328847,red
ABASTECIMIENTO,-86,84:D8:1B:69:44:93,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:30.200698,red
FAMILIAATONIO,-87,08:33:ED:4D:85:7F,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:31.215201,red
junior2,-89,80:26:89:64:45:16,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:31.632678,red
UNI_LIBRE_H,-89,C0:3F:DD:06:38:60,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:32.097515,red
UNI_LIBRE_H,-89,C0:3F:DD:06:3B:E0,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:34.328397,red
SECRETARIA,-90,98:DA:C4:63:8E:98,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:34.734111,red
TP-Link_1E8F,-90,84:D8:1B:69:1E:8F,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:35.723513,red
UNI-FIEE,-90,D4:6E:0E:CD:9B:40,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:36.514761,red
PABELLON-DOCENTES,-91,98:DE:D0:2E:D0:F8,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:38.034216,red
VL Invitados,-91,B2:4E:26:DC:4F:B0,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:38.826404,red
DEDITO,-93,B0:4E:26:DC:4F:B0,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:39.227304,red
NEOXIAOMI,-94,56:9D:21:F9:E2:E7,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:40.857424,red
Note @.@,-94,66:B4:46:4A:7A:11,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:41.254839,red
ABASTECIMIENTO,-96,98:DA:C4:63:99:7E,-12.017064,-77.049118,117.5,0.94,8,Mala,2025-06-21T13:59:41.769545,red
TeleMallqui,-41,B2:A6:11:D3:04:F9,-12.017152,-77.049095,117.5,0.94,8,Buena,2025-06-21T13:59:45.701460,green
UNI_LIBRE_H,-69,D8:10:9F:69:89:90,-12.017152,-77.049095,117.5,0.94,8,Buena,2025-06-21T13:59:47.824540,green
UNI_LIBRE_H,-78,C0:3F:DD:06:3A:20,-12.017152,-77.049095,117.5,0.94,8,Intermedia,2025-06-21T13:59:49.011830,orange
UNI_LIBRE_H,-83,C0:F6:EC:C2:21:10,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T13:59:50.938425,red
UNI_LIBRE_H,-83,CC:20:8C:BA:C9:F0,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T13:59:52.295754,red
hw_manage_1550,-85,D8:10:9F:88:15:5B,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T13:59:53.335332,red
ABASTECIMIENTO,-88,84:D8:1B:69:44:93,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T13:59:54.417214,red
UNI_LIBRE_H,-88,CC:20:8C:BA:DC:30,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T13:59:55.532549,red
TP-Link_1E8F,-89,84:D8:1B:69:1E:8F,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T13:59:57.437416,red
UNI_LIBRE_H,-89,C0:3F:DD:06:3D:60,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:01.731959,red
FAMILIAATONIO,-90,08:33:ED:4D:85:7F,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:03.628154,red
UNI FIEE UNI,-90,9A:25:A2:9D:F5:4C,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:05.026455,red
UNI_LIBRE_H,-90,CC:20:8C:BA:D9:F0,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:05.403395,red
LIFIEE-2020,-91,5C:A6:E6:9D:12:53,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:07.138936,red
PABELLON-DOCENTES,-92,98:DE:D0:2E:D0:F8,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:08.820394,red
UNI-FIEE,-92,D4:6E:0E:CD:9B:40,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:10.125386,red
Note @.@,-93,66:B4:46:4A:7A:11,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:10.588181,red
UNI_LIBRE_H,-93,CC:20:8C:BA:CB:F0,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:12.967636,red
NEOXIAOMI,-94,56:9D:21:F9:E2:E7,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:14.125244,red
ABASTECIMIENTO,-97,98:DA:C4:63:99:7E,-12.017152,-77.049095,117.5,0.94,8,Mala,2025-06-21T14:00:15.240164,red
