ssid,rssi,mac,lat,lng,alt,hdop,sat,calidad,timestamp,color
LIFIEE-2020,-64,5C:A6:E6:9D:12:53,-12.017225,-77.049026,119.9,0.94,8,Buena,2025-06-20T17:41:14.139016,green
hw_manage_1550,-66,D8:10:9F:88:15:5B,-12.017225,-77.049026,119.9,0.94,8,Buena,2025-06-20T17:41:14.533847,green
UNI_LIBRE_H,-68,D8:10:9F:69:89:90,-12.017225,-77.049026,119.9,0.94,8,Buena,2025-06-20T17:41:15.139282,green
DIRECT-HAnS8EBAB1708GOJZ,-75,E2:BB:9E:96:C3:16,-12.017225,-77.049026,119.9,0.94,8,Intermedia,2025-06-20T17:41:15.599924,orange
